price,area,type,road_width,width,floors,parking_slots,bedrooms,district_Quận Cầu Giấy,district_Quận Tây Hồ,district_Quận Đống Đa,district_Quận Ba Đình,district_Quận Hai Bà Trưng,district_Quận Thanh Xuân,district_Quận Nam Từ Liêm,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Bắc Từ Liêm,district_Quận Hoàng Mai
21.0,106.0,1,30.0,8.1,5.0,2,4.0,0,0,1,0,0,0,0,0,0,0,0
15.0,66.0,1,30.0,5.0,7.0,2,7.0,0,0,0,0,0,0,0,0,0,0,1
23.0,61.0,1,15.0,6.1,8.0,2,7.0,1,0,0,0,0,0,0,0,0,0,0
17.6,88.0,1,8.0,4.5,5.0,0,4.0,0,0,0,0,0,0,0,1,0,0,0
4.2,30.0,0,2.5,4.1,5.0,0,3.0,0,0,0,0,0,1,0,0,0,0,0
4.15,34.0,0,2.0,3.4,4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,1
3.85,30.0,0,5.0,5.0,5.0,0,3.0,0,0,0,0,1,0,0,0,0,0,0
8.4,40.0,1,12.0,4.0,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
17.5,48.0,1,35.0,4.0,5.0,0,5.0,0,1,0,0,0,0,0,0,0,0,0
13.0,57.0,0,20.0,4.6,7.0,2,5.0,0,0,0,0,0,0,0,0,0,0,1
31.0,80.0,1,25.0,7.3,9.0,4,10.0,1,0,0,0,0,0,0,0,0,0,0
2.8,35.0,0,3.0,4.0,5.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0
1.63,37.0,0,4.0,4.0,1.0,4,2.0,0,0,0,0,0,0,1,0,0,0,0
3.1,35.0,0,3.0,4.0,4.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0
2.9,35.0,0,3.0,4.0,5.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0
3.9,30.0,0,3.0,5.3,5.0,0,3.0,0,0,0,0,0,0,0,0,0,1,0
3.9,30.0,0,3.0,3.3,5.0,0,3.0,0,1,0,0,0,0,0,0,0,0,0
6.4,35.0,0,3.0,3.0,5.0,0,5.0,0,1,0,0,0,0,0,0,0,0,0
5.65,39.0,0,3.0,4.3,5.0,0,3.0,0,1,0,0,0,0,0,0,0,0,0
5.9,46.0,0,6.0,7.8,4.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0
5.25,54.0,1,15.0,3.5,3.0,2,3.0,0,0,0,0,0,0,0,0,1,0,0
17.0,62.0,1,8.0,6.0,7.0,4,6.0,0,0,1,0,0,0,0,0,0,0,0
23.5,77.0,1,6.0,5.0,4.0,4,4.0,0,0,1,0,0,0,0,0,0,0,0
2.8,35.0,0,3.0,4.0,5.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0
2.8,35.0,0,3.0,4.0,5.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0
3.1,35.0,0,3.0,4.0,5.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0
3.1,40.0,0,3.0,4.0,4.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0
2.9,35.0,0,3.0,4.0,5.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0
3.1,35.0,0,3.0,4.0,4.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0
16.2,68.0,1,5.0,5.0,5.0,1,5.0,0,0,0,0,0,0,0,1,0,0,0
35.0,90.0,1,18.0,5.0,7.0,4,11.0,0,0,1,0,0,0,0,0,0,0,0
24.5,60.0,1,20.0,5.0,5.0,4,4.0,0,0,1,0,0,0,0,0,0,0,0
21.5,90.0,0,25.0,15.0,4.0,4,6.0,0,0,1,0,0,0,0,0,0,0,0
17.5,60.0,0,10.0,6.0,5.0,4,5.0,0,0,1,0,0,0,0,0,0,0,0
11.0,50.0,0,6.0,4.7,6.0,2,5.0,0,0,1,0,0,0,0,0,0,0,0
13.5,38.23,1,15.0,4.0,4.0,0,3.0,0,1,0,0,0,0,0,0,0,0,0
7.92,198.0,1,40.0,8.5,5.0,4,6.0,0,0,0,0,0,0,0,0,0,0,1
24.8,99.0,1,15.0,5.8,8.0,4,7.0,0,0,0,0,0,1,0,0,0,0,0
20.0,60.0,1,30.0,4.5,6.0,3,8.0,1,0,0,0,0,0,0,0,0,0,0
2.1,18.0,0,2.5,3.1,4.0,0,2.0,0,0,1,0,0,0,0,0,0,0,0
11.3,52.0,1,5.0,4.0,5.0,1,4.0,0,0,1,0,0,0,0,0,0,0,0
13.5,97.0,1,8.0,4.0,5.0,1,5.0,0,0,0,0,0,0,0,1,0,0,0
20.5,82.0,1,8.0,4.5,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
15.0,68.0,1,8.0,4.5,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
11.2,66.0,1,6.0,4.0,4.0,1,5.0,0,0,0,0,0,0,0,1,0,0,0
8.9,48.0,0,2.0,6.0,6.0,0,10.0,0,0,0,0,1,0,0,0,0,0,0
30.0,130.0,1,10.0,10.0,4.0,4,8.0,0,0,0,0,1,0,0,0,0,0,0
38.0,135.0,1,20.0,7.8,5.0,4,5.0,0,0,0,1,0,0,0,0,0,0,0
48.0,195.0,1,10.0,7.0,2.0,4,2.0,0,0,0,1,0,0,0,0,0,0,0
15.0,60.0,1,10.0,5.0,2.0,4,2.0,0,0,1,0,0,0,0,0,0,0,0
13.5,77.0,1,8.0,6.75,5.0,4,5.0,0,0,0,1,0,0,0,0,0,0,0
0.68,52.0,1,10.0,8.6,6.0,4,6.0,0,0,0,1,0,0,0,0,0,0,0
25.0,57.0,1,10.0,10.0,1.0,4,1.0,0,0,0,0,0,0,0,0,0,0,0
21.0,57.0,1,12.0,9.0,4.0,4,4.0,0,0,0,1,0,0,0,0,0,0,0
15.0,90.0,1,10.0,6.0,2.0,2,5.0,0,0,0,1,0,0,0,0,0,0,0
11.5,47.0,1,8.0,4.7,1.0,4,1.0,0,0,1,0,0,0,0,0,0,0,0
0.81,54.0,1,8.0,10.0,5.0,1,5.0,0,0,0,1,0,0,0,0,0,0,0
38.0,140.0,1,10.0,10.0,3.0,4,5.0,0,0,0,1,0,0,0,0,0,0,0
8.4,56.0,0,3.0,5.0,5.0,0,4.0,0,0,0,0,0,1,0,0,0,0,0
3.55,30.0,0,4.0,3.2,3.0,0,4.0,0,0,0,0,0,0,0,1,0,0,0
21.5,61.0,1,9.0,4.0,5.0,4,4.0,0,0,1,0,0,0,0,0,0,0,0
20.5,82.0,1,8.0,4.5,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
21.0,50.0,1,21.0,5.5,5.0,0,5.0,0,0,1,0,0,0,0,0,0,0,0
22.0,100.0,1,10.0,6.4,2.0,4,4.0,0,0,0,1,0,0,0,0,0,0,0
16.3,59.0,1,10.0,4.0,3.0,4,3.0,0,0,0,1,0,0,0,0,0,0,0
31.5,139.0,1,15.0,8.5,2.0,4,2.0,0,0,0,1,0,0,0,0,0,0,0
24.0,85.0,1,9.0,8.0,5.0,0,4.0,0,0,0,1,0,0,0,0,0,0,0
27.0,80.0,0,15.0,4.6,5.0,4,4.0,0,0,1,0,0,0,0,0,0,0,0
20.5,35.0,1,20.0,4.1,4.0,3,3.0,0,0,0,0,1,0,0,0,0,0,0
5.6,45.0,0,3.0,4.5,5.0,0,5.0,0,0,0,1,0,0,0,0,0,0,0
3.25,30.0,0,3.0,3.5,5.0,0,4.0,0,0,0,0,0,0,0,0,0,1,0
6.6,45.0,0,4.0,4.5,5.0,0,4.0,0,0,0,0,1,0,0,0,0,0,0
7.3,30.0,0,5.0,12.0,5.0,4,3.0,0,0,0,0,1,0,0,0,0,0,0
6.4,56.0,0,2.0,5.0,6.0,0,6.0,0,0,1,0,0,0,0,0,0,0,0
50.0,130.0,1,33.0,9.0,5.0,4,5.0,0,0,0,0,1,0,0,0,0,0,0
15.5,66.0,0,6.0,6.6,5.0,2,5.0,0,0,1,0,0,0,0,0,0,0,0
4.2,39.0,0,2.0,4.0,4.0,0,3.0,0,0,0,0,0,0,0,1,0,0,0
6.5,60.0,0,3.5,3.3,3.0,2,3.0,0,0,0,0,0,0,0,1,0,0,0
23.0,46.0,1,40.0,4.65,7.0,4,7.0,0,1,0,0,0,0,0,0,0,0,0
16.5,57.0,1,10.0,3.8,5.0,1,4.0,1,0,0,0,0,0,0,0,0,0,0
5.9,44.0,0,3.5,4.1,4.0,0,3.0,0,0,0,0,0,0,0,0,0,1,0
6.5,46.0,0,2.0,9.8,3.0,0,3.0,0,0,0,1,0,0,0,0,0,0,0
5.5,52.0,0,3.0,4.0,4.0,0,4.0,0,0,0,0,0,1,0,0,0,0,0
5.8,35.0,0,8.0,4.0,5.0,2,3.0,0,0,0,0,0,0,0,1,0,0,0
12.7,46.0,0,10.0,3.6,8.0,1,5.0,0,0,1,0,0,0,0,0,0,0,0
11.0,47.0,1,20.0,4.5,5.0,1,4.0,0,0,1,0,0,0,0,0,0,0,0
16.5,50.0,1,15.0,4.5,7.0,2,6.0,0,0,1,0,0,0,0,0,0,0,0
